id,date,home_team,visit_team,home_team_score,visit_team_score,away_losses,away_wins,home_losses,home_wins
400489187,2013-12-10,BKN,BOS,104,96,13,10,14,7
400489531,2014-01-26,BOS,BKN,79,85,22,20,31,15
400489793,2014-03-07,BOS,BKN,91,84,30,30,41,21
400489899,2014-03-21,BKN,BOS,114,98,47,23,31,36
400489150,2013-12-05,BKN,NY,83,113,13,4,14,5
400489172,2013-12-08,NY,BOS,73,114,12,10,14,5
400489206,2013-12-13,BOS,NY,90,86,16,6,14,11
400489483,2014-01-20,NY,BKN,80,103,22,17,26,15
400489543,2014-01-28,NY,BOS,114,88,32,15,27,18
400489835,2014-03-12,BOS,NY,92,116,40,26,43,22
400489988,2014-04-02,NY,BKN,110,81,34,40,43,33
400490087,2014-04-15,BKN,NY,98,109,45,36,37,44
400489232,2013-12-16,BKN,PHI,130,94,19,7,15,9
400489256,2013-12-20,PHI,BKN,121,120,17,9,19,8
400489419,2014-01-11,PHI,NY,92,102,22,14,25,12
400489499,2014-01-22,NY,PHI,106,110,28,14,27,15
400489551,2014-01-29,BOS,PHI,94,95,31,15,33,15
400489585,2014-02-03,BKN,PHI,108,102,34,15,25,21
400489599,2014-02-05,PHI,BOS,108,114,33,17,35,15
400489819,2014-03-10,NY,PHI,123,110,48,15,40,25
400489896,2014-03-21,PHI,NY,92,93,40,29,54,15
400490006,2014-04-04,BOS,PHI,102,111,59,17,53,23
400490020,2014-04-05,PHI,BKN,101,105,34,42,60,17
400490077,2014-04-14,PHI,BOS,113,108,56,25,63,18
400488879,2013-10-30,TOR,BOS,93,87,1,0,0,1
400489038,2013-11-20,PHI,TOR,98,108,7,5,8,5
400489084,2013-11-26,TOR,BKN,100,102,10,4,8,6
400489204,2013-12-13,TOR,PHI,108,100,17,7,13,8
400489303,2013-12-27,NY,TOR,83,95,15,12,20,9
400489311,2013-12-28,TOR,NY,115,100,21,9,15,13
400489416,2014-01-11,TOR,BKN,96,80,22,15,17,18
400489442,2014-01-15,BOS,TOR,88,83,18,19,26,14
400489507,2014-01-24,PHI,TOR,95,104,20,22,29,14
400489536,2014-01-27,BKN,TOR,103,104,21,23,23,20
400489817,2014-03-10,BKN,TOR,101,97,27,35,30,32
400489936,2014-03-26,BOS,TOR,90,99,31,40,48,23
400489949,2014-03-28,TOR,BOS,105,103,49,23,31,41
400490037,2014-04-09,TOR,PHI,125,114,61,17,32,46
400490050,2014-04-11,TOR,NY,100,108,45,34,33,46
400490099,2014-04-16,NY,TOR,95,92,34,48,45,37
400488921,2013-11-04,PHI,GS,90,110,1,3,1,3
400489141,2013-12-03,GS,TOR,112,103,11,6,8,11
400489396,2014-01-08,BKN,GS,102,98,14,24,21,14
400489414,2014-01-10,GS,BOS,99,97,24,13,14,25
400489642,2014-02-10,GS,PHI,123,80,38,15,21,31
400489705,2014-02-22,GS,BKN,93,86,28,25,22,34
400489742,2014-02-28,NY,GS,103,126,23,36,38,21
400489757,2014-03-02,TOR,GS,104,98,24,36,26,33
400489780,2014-03-05,BOS,GS,88,108,24,38,41,20
400489971,2014-03-30,GS,NY,84,89,43,31,28,45
400488892,2013-10-31,LAC,GS,126,115,1,1,1,1
400489019,2013-11-16,LAC,BKN,110,103,6,3,3,7
400489100,2013-11-27,LAC,NY,93,80,11,3,5,11
400489178,2013-12-09,PHI,LAC,83,94,8,14,15,7
400489192,2013-12-11,BOS,LAC,88,96,8,15,14,10
400489200,2013-12-12,BKN,LAC,102,93,9,15,14,8
400489295,2013-12-25,GS,LAC,105,103,10,20,13,17
400489401,2014-01-08,LAC,BOS,111,105,23,13,13,25
400489454,2014-01-17,NY,LAC,95,109,13,28,25,15
400489520,2014-01-25,TOR,LAC,118,126,15,31,21,22
400489561,2014-01-30,GS,LAC,111,92,16,33,19,28
400489621,2014-02-07,LAC,TOR,118,105,24,26,18,35
400489636,2014-02-09,LAC,PHI,123,78,37,15,18,36
400489840,2014-03-12,LAC,GS,111,98,25,41,20,46
400488876,2013-10-29,LAL,LAC,116,103,1,0,0,1
400488890,2013-10-30,GS,LAL,125,94,1,1,0,1
400489059,2013-11-22,LAL,GS,102,95,5,8,7,6
400489091,2013-11-27,BKN,LAL,94,99,8,8,11,4
400489176,2013-12-08,LAL,TOR,94,106,12,7,10,10
400489275,2013-12-21,GS,LAL,102,83,14,13,13,15
400489325,2013-12-29,LAL,PHI,104,111,21,9,18,13
400489415,2014-01-10,LAC,LAL,123,87,23,14,13,26
400489459,2014-01-17,BOS,LAL,104,107,25,15,27,14
400489474,2014-01-19,TOR,LAL,106,112,25,16,19,20
400489528,2014-01-26,NY,LAL,110,103,29,16,27,17
400489614,2014-02-07,PHI,LAL,98,112,32,18,36,15
400489697,2014-02-21,LAL,BOS,101,92,37,19,36,19
400489712,2014-02-23,LAL,BKN,102,108,28,26,37,19
400489789,2014-03-06,LAL,LAC,94,142,20,43,41,21
400489933,2014-03-25,LAL,NY,127,96,42,29,46,24
400490023,2014-04-06,LAC,LAL,120,97,52,25,23,55
400490061,2014-04-11,LAL,GS,95,112,30,49,54,25
400489005,2013-11-15,PHX,BKN,98,100,5,3,4,5
400489160,2013-12-06,PHX,TOR,106,97,12,6,9,11
400489190,2013-12-10,LAL,PHX,108,114,9,12,11,10
400489228,2013-12-15,PHX,GS,106,102,12,13,9,14
400489289,2013-12-23,PHX,LAL,117,90,15,13,10,17
400489308,2013-12-27,GS,PHX,115,86,11,17,13,18
400489318,2013-12-28,PHX,PHI,115,101,21,8,11,18
400489332,2013-12-30,LAC,PHX,88,107,11,19,12,21
400489430,2014-01-13,NY,PHX,98,96,16,21,22,15
400489447,2014-01-15,PHX,LAL,121,114,25,14,16,22
400489535,2014-01-27,PHI,PHX,113,124,18,26,31,14
400489627,2014-02-08,PHX,GS,122,109,21,30,20,30
400489680,2014-02-19,PHX,BOS,100,94,36,19,21,32
400489775,2014-03-04,PHX,LAC,96,104,20,42,25,35
400489815,2014-03-09,GS,PHX,113,107,26,36,24,40
400489822,2014-03-10,LAC,PHX,112,105,27,36,20,45
400489848,2014-03-14,BOS,PHX,80,87,28,37,44,22
400489861,2014-03-16,TOR,PHX,113,121,28,38,28,37
400489871,2014-03-17,BKN,PHX,108,95,29,38,31,34
400489958,2014-03-28,PHX,NY,112,88,43,30,29,44
400489973,2014-03-30,LAL,PHX,115,99,30,44,48,25
400489998,2014-04-02,PHX,LAC,108,112,22,54,31,44
400488904,2013-11-01,SAC,LAC,101,110,1,2,1,1
400488913,2013-11-02,GS,SAC,98,87,2,1,1,2
400488994,2013-11-13,SAC,BKN,107,86,5,2,5,2
400489033,2013-11-19,SAC,PHX,107,104,5,5,7,3
400489044,2013-11-20,PHX,SAC,106,113,7,4,6,5
400489060,2013-11-23,LAC,SAC,103,102,8,4,5,9
400489074,2013-11-24,LAL,SAC,100,86,9,4,7,7
400489113,2013-11-29,SAC,LAC,98,104,5,12,10,4
400489124,2013-12-01,SAC,GS,113,115,8,10,11,4
400489162,2013-12-06,SAC,LAL,100,106,9,10,13,4
400489213,2013-12-13,PHX,SAC,116,107,15,6,9,13
400489354,2014-01-02,SAC,PHI,104,113,21,11,21,10
400489608,2014-02-05,SAC,TOR,109,101,23,26,32,17
400489616,2014-02-07,BOS,SAC,99,89,33,17,33,18
400489656,2014-02-12,NY,SAC,101,106,35,18,32,20
400489683,2014-02-19,SAC,GS,92,101,22,32,36,18
400489704,2014-02-22,SAC,BOS,105,98,38,19,36,19
400489745,2014-02-28,LAL,SAC,126,122,38,20,39,20
400489792,2014-03-07,TOR,SAC,99,87,40,22,26,34
400489811,2014-03-09,BKN,SAC,104,89,41,22,30,31
400489832,2014-03-12,PHI,SAC,98,115,42,23,49,15
400489942,2014-03-26,SAC,NY,99,107,42,30,46,25
400489999,2014-04-02,SAC,LAL,107,102,50,25,48,27
400490014,2014-04-04,GS,SAC,102,69,49,27,29,47
400490062,2014-04-12,LAC,SAC,117,101,53,27,24,56
400490102,2014-04-16,SAC,PHX,99,104,34,48,54,28
400488891,2013-10-31,CHI,NY,82,81,1,1,1,1
400488907,2013-11-02,PHI,CHI,107,104,2,1,0,3
400488999,2013-11-15,TOR,CHI,80,96,3,4,6,4
400489071,2013-11-24,LAC,CHI,121,82,6,6,5,10
400489197,2013-12-11,NY,CHI,83,78,12,8,15,6
400489219,2013-12-14,CHI,TOR,77,99,13,9,13,9
400489291,2013-12-25,BKN,CHI,78,95,16,11,19,9
400489336,2013-12-31,CHI,TOR,79,85,15,14,18,12
400489348,2014-01-02,CHI,BOS,94,82,19,13,18,13
400489386,2014-01-07,CHI,PHX,92,87,13,20,18,15
400489469,2014-01-18,CHI,PHI,103,78,27,13,20,19
400489486,2014-01-20,CHI,LAL,102,100,26,16,20,20
400489514,2014-01-24,CHI,LAC,95,112,15,30,21,21
400489593,2014-02-03,SAC,CHI,99,70,24,23,32,16
400489596,2014-02-04,PHX,CHI,92,101,24,24,19,29
400489611,2014-02-06,GS,CHI,102,87,25,24,20,30
400489630,2014-02-09,LAL,CHI,86,92,25,25,33,18
400489663,2014-02-13,CHI,BKN,92,76,27,24,25,27
400489676,2014-02-19,TOR,CHI,92,94,25,28,25,29
400489728,2014-02-26,CHI,GS,103,83,23,35,26,31
400489756,2014-03-02,CHI,NY,109,90,39,21,26,33
400489764,2014-03-03,BKN,CHI,96,80,27,33,29,29
400489859,2014-03-15,CHI,SAC,94,87,43,23,29,37
400489881,2014-03-19,PHI,CHI,94,102,30,38,53,15
400489907,2014-03-22,CHI,PHI,91,81,55,15,31,39
400489970,2014-03-30,BOS,CHI,102,107,32,41,50,23
400489979,2014-03-31,CHI,BOS,94,80,51,23,32,42
400490070,2014-04-13,NY,CHI,100,89,33,47,45,35
400488877,2013-10-30,CLE,BKN,98,94,1,0,0,1
400488949,2013-11-08,PHI,CLE,94,79,4,2,2,4
400488961,2013-11-09,CLE,PHI,127,125,3,4,4,3
400488975,2013-11-11,CHI,CLE,96,81,5,3,3,3
400489105,2013-11-29,BOS,CLE,103,86,12,4,11,7
400489115,2013-11-30,CLE,CHI,97,93,8,7,12,5
400489164,2013-12-07,CLE,LAC,88,82,8,13,13,7
400489183,2013-12-10,CLE,NY,109,94,15,5,13,8
400489270,2013-12-21,CHI,CLE,100,84,16,10,16,10
400489309,2013-12-28,BOS,CLE,103,100,19,10,17,13
400489321,2013-12-29,CLE,GS,104,108,13,19,20,10
400489364,2014-01-04,BKN,CLE,89,82,22,11,21,12
400489382,2014-01-07,CLE,PHI,111,93,23,12,23,12
400489425,2014-01-12,SAC,CLE,124,80,24,13,22,13
400489438,2014-01-14,LAL,CLE,118,120,24,14,24,14
400489495,2014-01-22,CLE,CHI,87,98,20,21,27,15
400489530,2014-01-26,CLE,PHX,90,99,18,25,28,16
400489560,2014-01-30,NY,CLE,117,86,30,16,27,19
400489598,2014-02-05,CLE,LAL,108,119,32,17,33,16
400489644,2014-02-11,CLE,SAC,109,99,35,17,33,19
400489666,2014-02-18,PHI,CLE,85,114,33,21,40,15
400489691,2014-02-21,TOR,CLE,98,91,34,22,25,30
400489719,2014-02-25,CLE,TOR,93,99,25,32,36,22
400489801,2014-03-08,CLE,NY,97,107,40,24,40,24
400489839,2014-03-12,PHX,CLE,101,110,40,25,28,36
400489853,2014-03-14,GS,CLE,94,103,40,26,26,41
400489868,2014-03-16,LAC,CLE,102,80,41,26,20,48
400489918,2014-03-23,NY,CLE,100,106,44,27,41,29
400489930,2014-03-25,CLE,TOR,102,100,31,39,44,28
400489951,2014-03-28,BKN,CLE,108,97,45,29,33,38
400490066,2014-04-12,CLE,BOS,99,111,55,25,49,32
400490097,2014-04-16,CLE,BKN,114,85,38,44,49,33
400488914,2013-11-03,DET,BOS,87,77,3,0,1,2
400488982,2013-11-12,GS,DET,113,95,5,2,3,5
400489008,2013-11-15,SAC,DET,90,97,5,3,6,2
400489022,2013-11-17,LAL,DET,114,99,6,3,7,5
400489030,2013-11-19,DET,NY,92,86,7,3,6,4
400489070,2013-11-24,BKN,DET,97,109,8,5,10,3
400489093,2013-11-27,DET,CHI,79,99,7,7,9,6
400489106,2013-11-29,DET,LAL,102,106,8,9,10,6
400489123,2013-12-01,DET,PHI,115,100,12,6,10,7
400489165,2013-12-07,CHI,DET,75,92,10,10,10,8
400489207,2013-12-13,DET,BKN,103,99,15,8,13,11
400489246,2013-12-18,BOS,DET,106,107,14,13,15,12
400489281,2013-12-23,CLE,DET,92,115,16,14,17,10
400489385,2014-01-07,NY,DET,89,85,21,14,22,12
400489394,2014-01-08,TOR,DET,112,91,22,14,17,17
400489405,2014-01-10,PHI,DET,104,114,22,15,24,12
400489418,2014-01-11,DET,PHX,110,108,15,21,22,16
400489480,2014-01-20,DET,LAC,103,112,14,29,24,17
400489573,2014-02-01,DET,PHI,113,96,33,15,27,19
400489617,2014-02-07,DET,BKN,111,95,26,22,29,20
400489655,2014-02-12,DET,CLE,89,93,33,20,30,22
400489715,2014-02-24,DET,GS,96,104,22,35,34,23
400489765,2014-03-03,DET,NY,96,85,40,21,36,24
400489782,2014-03-05,DET,CHI,94,105,27,34,37,24
400489810,2014-03-09,BOS,DET,118,111,39,24,41,22
400489824,2014-03-11,DET,SAC,99,89,42,22,39,25
400489833,2014-03-12,TOR,DET,101,87,40,25,27,36
400489902,2014-03-21,PHX,DET,98,92,43,25,29,40
400489912,2014-03-22,LAC,DET,112,103,44,25,21,49
400489937,2014-03-26,DET,CLE,96,97,44,29,45,26
400489960,2014-03-29,PHI,DET,123,98,47,26,57,16
400490007,2014-04-04,BKN,DET,116,104,49,27,34,41
400490019,2014-04-05,DET,BOS,115,111,54,23,49,28
400490035,2014-04-09,CLE,DET,122,100,50,29,47,32
400490054,2014-04-11,CHI,DET,106,98,51,29,32,47
400490071,2014-04-13,DET,TOR,107,116,33,47,52,29
400488906,2013-11-02,IND,CLE,89,74,2,1,0,3
400488926,2013-11-05,DET,IND,91,99,0,4,2,2
400488934,2013-11-06,IND,CHI,97,80,3,1,0,5
400488947,2013-11-08,IND,TOR,91,84,4,2,0,6
400488960,2013-11-09,BKN,IND,91,96,0,7,4,2
400489013,2013-11-16,CHI,IND,110,94,1,9,3,5
400489036,2013-11-20,NY,IND,96,103,1,10,8,3
400489052,2013-11-22,BOS,IND,82,97,1,11,10,4
400489061,2013-11-23,IND,PHI,106,98,9,6,1,12
400489122,2013-12-01,LAC,IND,100,105,1,16,6,12
400489229,2013-12-16,IND,DET,96,101,14,12,4,20
400489277,2013-12-22,IND,BOS,106,79,17,12,5,22
400489283,2013-12-23,BKN,IND,86,103,5,23,18,9
400489310,2013-12-28,IND,BKN,105,91,20,10,5,24
400489334,2013-12-31,IND,CLE,91,76,21,10,5,25
400489342,2014-01-01,TOR,IND,95,82,6,25,15,15
400489372,2014-01-05,CLE,IND,78,82,6,27,23,11
400489383,2014-01-07,IND,TOR,86,79,17,16,6,28
400489436,2014-01-14,IND,SAC,116,92,23,13,7,30
400489451,2014-01-16,IND,NY,117,89,24,15,7,31
400489467,2014-01-18,IND,LAC,106,92,14,28,7,32
400489488,2014-01-20,GS,IND,94,102,7,33,17,26
400489502,2014-01-22,PHX,IND,124,100,8,33,17,24
400489517,2014-01-24,SAC,IND,111,116,8,34,27,15
400489547,2014-01-28,LAL,IND,92,104,9,35,30,16
400489559,2014-01-30,IND,PHX,94,102,18,28,10,35
400489570,2014-02-01,IND,BKN,97,96,25,20,10,36
400489720,2014-02-25,IND,LAL,118,98,38,19,13,43
400489750,2014-03-01,BOS,IND,97,102,13,45,40,20
400489772,2014-03-04,IND,GS,96,98,24,37,14,46
400489823,2014-03-11,IND,BOS,94,83,42,22,17,47
400489846,2014-03-14,PHI,IND,94,101,17,48,50,15
400489857,2014-03-15,DET,IND,104,112,17,49,41,25
400489870,2014-03-17,IND,PHI,99,90,52,15,17,50
400489886,2014-03-19,NY,IND,92,86,18,50,40,28
400489895,2014-03-21,IND,CHI,91,79,31,38,18,51
400489923,2014-03-24,CHI,IND,89,77,20,51,31,40
400489967,2014-03-30,CLE,IND,90,76,22,52,45,30
400489987,2014-04-02,IND,DET,101,94,48,27,23,53
400490004,2014-04-04,TOR,IND,102,94,24,53,32,44
400488881,2013-10-30,NY,MIL,90,83,1,0,0,1
400488897,2013-11-01,BOS,MIL,98,105,1,1,2,0
400488910,2013-11-02,MIL,TOR,90,97,1,2,2,1
400488939,2013-11-06,MIL,CLE,109,104,3,2,2,2
400488998,2013-11-15,IND,MIL,104,77,6,2,0,9
400489050,2013-11-22,PHI,MIL,115,107,9,2,8,6
400489077,2013-11-25,DET,MIL,113,94,11,2,8,6
400489120,2013-11-30,MIL,BOS,92,85,12,7,13,3
400489135,2013-12-03,BOS,MIL,108,100,14,3,12,8
400489145,2013-12-04,MIL,DET,98,105,10,9,15,3
400489168,2013-12-07,MIL,BKN,82,90,14,6,16,4
400489189,2013-12-10,CHI,MIL,74,78,16,5,11,8
400489210,2013-12-13,MIL,CHI,90,91,12,9,18,5
400489248,2013-12-18,MIL,NY,101,107,17,8,20,5
400489258,2013-12-20,CLE,MIL,114,111,21,5,15,10
400489271,2013-12-21,MIL,PHI,116,106,20,8,21,6
400489302,2013-12-27,BKN,MIL,104,93,23,6,19,10
400489340,2013-12-31,LAL,MIL,79,94,24,7,19,13
400489368,2014-01-04,PHX,MIL,116,100,26,7,12,20
400489388,2014-01-07,MIL,GS,80,101,13,24,27,7
400489411,2014-01-10,MIL,CHI,72,81,18,16,28,7
400489428,2014-01-13,TOR,MIL,116,94,30,7,17,19
400489501,2014-01-22,MIL,DET,104,101,25,17,33,8
400489511,2014-01-24,CLE,MIL,93,78,34,8,27,16
400489538,2014-01-27,MIL,LAC,86,114,15,32,36,8
400489552,2014-01-29,MIL,PHX,117,126,18,27,37,8
400489587,2014-02-03,MIL,NY,101,98,29,19,39,9
400489640,2014-02-10,MIL,BOS,86,102,34,19,42,9
400489702,2014-02-22,MIL,IND,100,110,13,42,45,10
400489714,2014-02-24,PHI,MIL,110,130,45,11,42,15
400489736,2014-02-27,IND,MIL,101,96,46,11,13,44
400489751,2014-03-01,MIL,BKN,98,107,29,28,47,11
400489783,2014-03-05,MIL,SAC,102,116,39,22,48,12
400489854,2014-03-15,NY,MIL,115,94,53,13,40,27
400489894,2014-03-20,GS,MIL,115,110,56,13,26,44
400489916,2014-03-23,SAC,MIL,124,107,57,13,45,25
400489929,2014-03-24,LAC,MIL,106,98,58,13,21,50
400489946,2014-03-27,MIL,LAL,108,105,47,24,58,14
400489977,2014-03-31,DET,MIL,116,111,60,14,47,27
400490010,2014-04-04,CHI,MIL,102,90,62,14,32,44
400490021,2014-04-05,MIL,TOR,98,102,32,45,63,14
400490041,2014-04-09,MIL,IND,102,104,25,54,64,14
400490058,2014-04-11,MIL,CLE,119,116,48,32,64,15
400490078,2014-04-14,TOR,MIL,110,100,66,15,33,48
400488929,2013-11-05,DAL,LAL,123,104,3,2,1,3
400488965,2013-11-09,MIL,DAL,83,91,3,4,3,2
400489026,2013-11-18,DAL,PHI,97,94,7,5,4,7
400489098,2013-11-27,DAL,GS,103,99,7,9,6,10
400489182,2013-12-09,SAC,DAL,112,97,9,13,13,6
400489199,2013-12-11,GS,DAL,95,93,10,13,10,13
400489221,2013-12-14,DAL,MIL,106,93,19,5,10,14
400489262,2013-12-20,DAL,TOR,108,109,14,10,11,15
400489273,2013-12-21,PHX,DAL,123,108,12,15,10,16
400489314,2013-12-28,CHI,DAL,83,105,13,17,17,11
400489359,2014-01-03,DAL,LAC,112,119,12,23,14,19
400489376,2014-01-05,DAL,NY,80,92,22,11,15,19
400489389,2014-01-07,DAL,LAL,110,97,21,14,15,20
400489450,2014-01-15,LAC,DAL,129,127,17,23,13,27
400489464,2014-01-17,PHX,DAL,107,110,17,24,17,22
400489479,2014-01-20,CLE,DAL,97,102,18,25,26,15
400489497,2014-01-22,TOR,DAL,93,85,19,25,20,21
400489510,2014-01-24,BKN,DAL,107,106,20,25,22,19
400489532,2014-01-26,DAL,DET,116,106,27,17,20,26
400489566,2014-01-31,DAL,SAC,107,103,31,15,21,27
400489590,2014-02-03,DAL,CLE,124,107,32,16,21,28
400489631,2014-02-09,BOS,DAL,91,102,21,31,34,18
400489650,2014-02-12,IND,DAL,73,81,22,32,12,40
400489690,2014-02-21,PHI,DAL,112,124,23,33,41,15
400489701,2014-02-22,DET,DAL,102,113,23,34,33,23
400489716,2014-02-24,NY,DAL,108,110,23,35,36,21
400489743,2014-02-28,DAL,CHI,91,100,26,32,24,36
400489814,2014-03-09,DAL,IND,105,94,17,46,26,38
400489829,2014-03-11,GS,DAL,108,85,27,38,24,41
400489874,2014-03-17,DAL,BOS,94,89,46,22,27,41
400489917,2014-03-23,DAL,BKN,104,107,31,37,29,42
400489947,2014-03-27,DAL,LAC,103,109,22,51,30,43
400489963,2014-03-29,DAL,SAC,103,100,48,25,30,44
400489985,2014-04-01,DAL,GS,120,122,28,46,31,44
400490001,2014-04-03,LAC,DAL,107,113,31,45,23,54
400490015,2014-04-04,LAL,DAL,95,107,31,46,51,25
400490024,2014-04-06,SAC,DAL,91,93,31,47,50,27
400490068,2014-04-12,DAL,PHX,101,98,33,47,32,49
400488898,2013-11-01,HOU,DAL,113,105,1,1,0,2
400488923,2013-11-04,LAC,HOU,137,118,1,3,1,3
400488945,2013-11-07,HOU,LAL,98,99,3,3,2,4
400488963,2013-11-09,HOU,LAC,94,107,3,4,3,4
400488976,2013-11-11,HOU,TOR,110,104,5,3,3,5
400488985,2013-11-13,PHI,HOU,123,117,4,5,4,5
400488996,2013-11-14,NY,HOU,106,109,4,6,5,3
400489032,2013-11-19,HOU,BOS,109,85,8,4,4,8
400489045,2013-11-20,DAL,HOU,123,120,5,8,4,8
400489107,2013-11-29,HOU,BKN,114,95,12,4,5,12
400489144,2013-12-04,HOU,PHX,88,97,9,10,7,13
400489158,2013-12-06,HOU,GS,105,83,9,11,7,14
400489214,2013-12-13,GS,HOU,112,116,8,16,11,13
400489223,2013-12-15,SAC,HOU,106,91,9,16,15,7
400489252,2013-12-18,HOU,CHI,109,94,15,9,9,17
400489261,2013-12-20,IND,HOU,114,81,10,17,5,21
400489269,2013-12-21,DET,HOU,97,114,10,18,16,13
400489285,2013-12-23,HOU,DAL,104,111,12,16,11,18
400489337,2013-12-31,HOU,SAC,106,110,20,10,13,21
400489358,2014-01-03,HOU,NY,102,100,22,10,13,22
400489399,2014-01-08,HOU,LAL,113,99,22,14,13,23
400489429,2014-01-13,BOS,HOU,92,104,14,25,26,13
400489470,2014-01-18,HOU,MIL,114,104,32,7,15,27
400489500,2014-01-22,HOU,SAC,119,98,26,15,15,29
400489554,2014-01-29,DAL,HOU,115,117,17,31,21,26
400489574,2014-02-01,HOU,CLE,106,92,31,16,17,32
400489602,2014-02-05,HOU,PHX,122,108,20,29,17,33
400489626,2014-02-08,MIL,HOU,95,101,17,34,41,9
400489684,2014-02-19,LAL,HOU,108,134,17,37,36,18
400489687,2014-02-20,GS,HOU,102,99,18,37,22,33
400489711,2014-02-23,PHX,HOU,112,115,18,38,22,33
400489725,2014-02-25,SAC,HOU,103,129,18,39,37,20
400489735,2014-02-26,LAC,HOU,101,93,19,39,20,40
400489749,2014-03-01,HOU,DET,118,110,36,23,19,40
400489799,2014-03-07,HOU,IND,112,86,16,46,19,43
400489841,2014-03-13,CHI,HOU,111,87,21,44,29,36
400489906,2014-03-22,CLE,HOU,111,118,22,47,44,26
400489945,2014-03-27,HOU,PHI,120,98,57,15,22,49
400489961,2014-03-29,HOU,LAC,107,118,22,52,23,49
400489984,2014-04-01,BKN,HOU,105,96,24,49,33,40
400489991,2014-04-02,TOR,HOU,107,103,25,49,32,43
400490034,2014-04-08,LAL,HOU,130,145,25,52,53,25
400488899,2013-11-01,MEM,DET,111,108,1,1,1,1
400488909,2013-11-02,DAL,MEM,111,99,2,1,1,2
400488922,2013-11-04,MEM,BOS,95,88,4,0,2,2
400488964,2013-11-09,MEM,GS,108,90,3,4,3,3
400488972,2013-11-11,IND,MEM,95,79,4,3,0,8
400488987,2013-11-13,MEM,TOR,87,103,5,4,5,3
400489007,2013-11-15,LAL,MEM,86,89,5,4,7,4
400489021,2013-11-17,SAC,MEM,86,97,5,5,7,2
400489028,2013-11-18,LAC,MEM,102,106,5,6,4,7
400489046,2013-11-20,GS,MEM,81,88,5,7,4,8
400489079,2013-11-25,MEM,HOU,86,93,5,10,7,7
400489090,2013-11-27,BOS,MEM,93,100,7,8,11,6
400489116,2013-11-30,MEM,BKN,88,97,12,5,8,8
400489138,2013-12-03,MEM,PHX,110,91,9,9,8,9
400489151,2013-12-05,MEM,LAC,81,101,7,13,9,9
400489166,2013-12-07,MEM,GS,82,108,9,12,10,9
400489239,2013-12-17,MEM,LAL,92,96,13,12,14,10
400489250,2013-12-18,DAL,MEM,105,91,15,10,10,15
